GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US45019000100,45019000100,"Census Tract 1, Charleston County, South Carolina",2576,414,2030,322,443,264,0,12,12,23,0,12,10,16,81,68,0,12,81,68
1400000US45019000200,45019000200,"Census Tract 2, Charleston County, South Carolina",1408,151,1402,150,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12
1400000US45019000400,45019000400,"Census Tract 4, Charleston County, South Carolina",3305,354,2624,352,532,139,0,12,34,31,3,6,4,8,108,71,0,12,108,71
1400000US45019000500,45019000500,"Census Tract 5, Charleston County, South Carolina",2077,294,2002,306,54,70,8,12,13,20,0,12,0,12,0,12,0,12,0,12
1400000US45019000600,45019000600,"Census Tract 6, Charleston County, South Carolina",1166,149,951,143,101,54,0,12,74,44,0,12,0,12,40,27,0,12,40,27
1400000US45019000700,45019000700,"Census Tract 7, Charleston County, South Carolina",3165,352,2287,267,691,269,0,12,47,29,0,12,16,19,124,70,0,12,124,70
1400000US45019000900,45019000900,"Census Tract 9, Charleston County, South Carolina",1338,202,461,114,853,154,9,13,0,12,0,12,10,16,5,8,0,12,5,8
1400000US45019001000,45019001000,"Census Tract 10, Charleston County, South Carolina",2267,309,1488,285,650,147,4,8,48,21,0,12,5,10,72,46,17,19,55,37
1400000US45019001100,45019001100,"Census Tract 11, Charleston County, South Carolina",2448,496,897,181,1507,456,0,12,12,16,11,26,6,10,15,25,0,12,15,25
1400000US45019001500,45019001500,"Census Tract 15, Charleston County, South Carolina",1409,193,551,91,803,174,14,17,0,12,0,12,0,12,41,35,0,12,41,35
1400000US45019001600,45019001600,"Census Tract 16, Charleston County, South Carolina",1688,150,1206,133,456,112,2,4,3,8,0,12,0,12,21,23,0,12,21,23
1400000US45019001901,45019001901,"Census Tract 19.01, Charleston County, South Carolina",4491,340,3943,353,441,168,0,12,16,20,0,12,10,16,81,95,61,89,20,27
1400000US45019001902,45019001902,"Census Tract 19.02, Charleston County, South Carolina",4499,424,3545,352,730,199,0,12,179,141,0,12,31,38,14,20,0,12,14,20
1400000US45019002002,45019002002,"Census Tract 20.02, Charleston County, South Carolina",6095,484,5234,466,739,274,0,17,32,38,0,17,0,17,90,80,0,17,90,80
1400000US45019002003,45019002003,"Census Tract 20.03, Charleston County, South Carolina",9312,801,6048,563,3062,598,16,24,117,109,0,17,0,17,69,85,0,17,69,85
1400000US45019002004,45019002004,"Census Tract 20.04, Charleston County, South Carolina",2016,384,1946,374,0,12,70,93,0,12,0,12,0,12,0,12,0,12,0,12
1400000US45019002005,45019002005,"Census Tract 20.05, Charleston County, South Carolina",6611,385,6030,446,300,210,0,17,205,246,0,17,0,17,76,69,0,17,76,69
1400000US45019002006,45019002006,"Census Tract 20.06, Charleston County, South Carolina",5034,352,4058,323,783,194,7,11,94,78,0,17,0,17,92,81,6,10,86,80
1400000US45019002007,45019002007,"Census Tract 20.07, Charleston County, South Carolina",3762,292,3638,303,40,49,0,12,7,11,0,12,0,12,77,83,1,3,76,82
1400000US45019002101,45019002101,"Census Tract 21.01, Charleston County, South Carolina",12495,1421,10230,1191,2214,566,0,19,22,35,0,19,0,19,29,45,0,19,29,45
1400000US45019002103,45019002103,"Census Tract 21.03, Charleston County, South Carolina",3506,431,2272,249,1229,395,0,12,0,12,0,12,0,12,5,9,0,12,5,9
1400000US45019002104,45019002104,"Census Tract 21.04, Charleston County, South Carolina",1543,158,1503,158,21,24,0,12,12,14,0,12,0,12,7,10,0,12,7,10
1400000US45019002105,45019002105,"Census Tract 21.05, Charleston County, South Carolina",1785,158,1753,160,4,6,0,12,11,12,0,12,17,24,0,12,0,12,0,12
1400000US45019002200,45019002200,"Census Tract 22, Charleston County, South Carolina",3106,384,1236,251,1848,327,0,12,0,12,0,12,14,24,8,12,0,12,8,12
1400000US45019002300,45019002300,"Census Tract 23, Charleston County, South Carolina",1482,193,749,119,681,187,2,4,14,22,0,12,27,40,9,15,0,12,9,15
1400000US45019002400,45019002400,"Census Tract 24, Charleston County, South Carolina",5013,481,2136,340,2848,430,7,11,0,17,0,17,10,13,12,20,0,17,12,20
1400000US45019002502,45019002502,"Census Tract 25.02, Charleston County, South Carolina",7517,470,4476,449,2951,553,0,17,41,42,0,17,10,14,39,49,0,17,39,49
1400000US45019002604,45019002604,"Census Tract 26.04, Charleston County, South Carolina",3900,336,2944,323,795,331,21,26,88,88,0,12,0,12,52,51,0,12,52,51
1400000US45019002605,45019002605,"Census Tract 26.05, Charleston County, South Carolina",3802,359,1973,246,1569,324,0,12,136,120,0,12,0,12,124,101,0,12,124,101
1400000US45019002606,45019002606,"Census Tract 26.06, Charleston County, South Carolina",2237,159,2039,165,106,56,0,12,45,60,0,12,7,10,40,44,0,12,40,44
1400000US45019002611,45019002611,"Census Tract 26.11, Charleston County, South Carolina",3148,224,2584,204,472,145,16,20,0,12,0,12,34,30,42,47,0,12,42,47
1400000US45019002612,45019002612,"Census Tract 26.12, Charleston County, South Carolina",6643,579,3592,401,2822,592,0,17,97,99,0,17,13,23,119,118,0,17,119,118
1400000US45019002613,45019002613,"Census Tract 26.13, Charleston County, South Carolina",5521,429,3993,445,1245,405,0,17,141,188,0,17,0,17,142,148,0,17,142,148
1400000US45019002614,45019002614,"Census Tract 26.14, Charleston County, South Carolina",3951,375,2706,367,1113,240,23,26,60,71,0,12,29,48,20,20,0,12,20,20
1400000US45019002701,45019002701,"Census Tract 27.01, Charleston County, South Carolina",2401,320,901,142,1438,275,0,12,28,25,0,12,8,14,26,34,0,12,26,34
1400000US45019002702,45019002702,"Census Tract 27.02, Charleston County, South Carolina",4332,595,1627,378,2610,527,0,12,52,49,0,12,42,88,1,3,0,12,1,3
1400000US45019002801,45019002801,"Census Tract 28.01, Charleston County, South Carolina",4474,349,3617,385,494,186,0,12,242,232,12,24,0,12,109,85,0,12,109,85
1400000US45019002802,45019002802,"Census Tract 28.02, Charleston County, South Carolina",2634,285,2514,298,15,23,0,12,49,48,0,12,0,12,56,56,0,12,56,56
1400000US45019002900,45019002900,"Census Tract 29, Charleston County, South Carolina",2907,286,2069,224,807,155,4,10,0,12,0,12,0,12,27,25,0,12,27,25
1400000US45019003000,45019003000,"Census Tract 30, Charleston County, South Carolina",3624,393,3551,391,31,35,0,12,0,12,0,12,0,12,42,35,5,10,37,33
1400000US45019003104,45019003104,"Census Tract 31.04, Charleston County, South Carolina",5453,778,2469,437,2017,513,13,23,73,114,0,17,755,590,126,88,13,22,113,84
1400000US45019003105,45019003105,"Census Tract 31.05, Charleston County, South Carolina",3865,509,1927,351,1711,388,0,12,0,12,0,12,133,103,94,80,0,12,94,80
1400000US45019003106,45019003106,"Census Tract 31.06, Charleston County, South Carolina",6849,780,3358,438,2542,500,12,20,138,115,1,3,418,134,380,422,64,76,316,384
1400000US45019003107,45019003107,"Census Tract 31.07, Charleston County, South Carolina",4286,421,1622,253,2370,378,0,12,54,62,0,12,145,180,95,72,14,19,81,68
1400000US45019003108,45019003108,"Census Tract 31.08, Charleston County, South Carolina",3290,360,913,264,2117,345,27,30,69,58,0,12,82,80,82,63,0,12,82,63
1400000US45019003109,45019003109,"Census Tract 31.09, Charleston County, South Carolina",4105,285,2093,464,1595,475,0,12,184,148,0,12,45,67,188,146,0,12,188,146
1400000US45019003110,45019003110,"Census Tract 31.10, Charleston County, South Carolina",7604,619,3205,551,3862,677,0,17,63,66,0,17,340,244,134,129,0,17,134,129
1400000US45019003111,45019003111,"Census Tract 31.11, Charleston County, South Carolina",4926,577,1005,270,3272,448,0,12,105,84,0,12,186,260,358,252,136,206,222,144
1400000US45019003113,45019003113,"Census Tract 31.13, Charleston County, South Carolina",3175,425,1582,338,1195,311,28,35,65,64,0,12,91,126,214,213,0,12,214,213
1400000US45019003114,45019003114,"Census Tract 31.14, Charleston County, South Carolina",8607,710,4953,578,3047,607,0,17,277,160,0,17,94,110,236,138,13,26,223,137
1400000US45019003115,45019003115,"Census Tract 31.15, Charleston County, South Carolina",8412,725,4417,664,3561,806,6,12,111,55,11,17,132,203,174,109,0,17,174,109
1400000US45019003200,45019003200,"Census Tract 32, Charleston County, South Carolina",1146,213,843,182,189,92,0,12,28,27,16,33,11,15,59,46,5,11,54,49
1400000US45019003300,45019003300,"Census Tract 33, Charleston County, South Carolina",3886,449,1313,360,2473,356,0,12,0,12,0,12,0,12,100,128,0,12,100,128
1400000US45019003400,45019003400,"Census Tract 34, Charleston County, South Carolina",4414,493,1585,374,2490,408,29,38,0,12,0,12,159,159,151,112,0,12,151,112
1400000US45019003500,45019003500,"Census Tract 35, Charleston County, South Carolina",2826,270,2449,286,175,125,40,69,0,12,11,23,0,12,151,122,0,12,151,122
1400000US45019003600,45019003600,"Census Tract 36, Charleston County, South Carolina",2369,284,1391,188,800,179,0,12,33,49,0,12,95,137,50,47,0,12,50,47
1400000US45019003700,45019003700,"Census Tract 37, Charleston County, South Carolina",3499,457,485,189,2891,402,0,12,56,49,0,12,0,12,67,49,0,12,67,49
1400000US45019003800,45019003800,"Census Tract 38, Charleston County, South Carolina",3301,416,624,185,2650,457,0,12,0,12,0,12,0,12,27,32,0,12,27,32
1400000US45019003900,45019003900,"Census Tract 39, Charleston County, South Carolina",5662,442,2211,350,3255,398,17,18,7,13,22,26,33,37,117,61,0,17,117,61
1400000US45019004000,45019004000,"Census Tract 40, Charleston County, South Carolina",2696,270,271,97,2348,295,0,12,0,12,0,12,0,12,77,65,0,12,77,65
1400000US45019004300,45019004300,"Census Tract 43, Charleston County, South Carolina",2623,402,411,218,2142,421,10,15,16,31,0,12,0,12,44,36,0,12,44,36
1400000US45019004400,45019004400,"Census Tract 44, Charleston County, South Carolina",2580,268,457,135,2100,275,0,12,0,12,0,12,7,12,16,24,3,6,13,21
1400000US45019004606,45019004606,"Census Tract 46.06, Charleston County, South Carolina",9208,513,7599,520,1090,204,14,24,216,152,19,43,26,41,244,183,0,17,244,183
1400000US45019004607,45019004607,"Census Tract 46.07, Charleston County, South Carolina",5531,401,5142,442,92,52,46,51,126,111,0,17,0,17,125,110,0,17,125,110
1400000US45019004608,45019004608,"Census Tract 46.08, Charleston County, South Carolina",24359,1035,22464,1116,1032,406,10,18,303,195,22,20,0,22,528,340,0,22,528,340
1400000US45019004609,45019004609,"Census Tract 46.09, Charleston County, South Carolina",7287,617,5659,565,1431,375,21,26,13,22,0,17,0,17,163,161,0,17,163,161
1400000US45019004610,45019004610,"Census Tract 46.10, Charleston County, South Carolina",3081,411,2227,259,812,330,0,12,13,19,0,12,0,12,29,36,0,12,29,36
1400000US45019004611,45019004611,"Census Tract 46.11, Charleston County, South Carolina",8716,509,7993,508,453,193,0,17,192,183,0,17,0,17,78,82,0,17,78,82
1400000US45019004612,45019004612,"Census Tract 46.12, Charleston County, South Carolina",7273,351,6485,426,296,187,37,42,98,85,0,17,36,53,321,326,0,17,321,326
1400000US45019004613,45019004613,"Census Tract 46.13, Charleston County, South Carolina",1671,118,1526,101,45,42,29,41,13,18,0,12,0,12,58,54,0,12,58,54
1400000US45019004614,45019004614,"Census Tract 46.14, Charleston County, South Carolina",7327,428,6212,422,897,151,0,17,207,144,0,17,0,17,11,20,11,20,0,17
1400000US45019004701,45019004701,"Census Tract 47.01, Charleston County, South Carolina",6220,501,5136,549,960,573,0,17,0,17,0,17,0,17,124,110,0,17,124,110
1400000US45019004702,45019004702,"Census Tract 47.02, Charleston County, South Carolina",2626,233,2462,234,99,93,0,12,18,29,0,12,7,11,40,30,0,12,40,30
1400000US45019004800,45019004800,"Census Tract 48, Charleston County, South Carolina",2049,169,2005,165,12,13,0,12,4,7,0,12,10,12,18,16,0,12,18,16
1400000US45019004901,45019004901,"Census Tract 49.01, Charleston County, South Carolina",1915,159,1862,171,0,12,0,12,6,11,0,12,0,12,47,45,20,32,27,35
1400000US45019004902,45019004902,"Census Tract 49.02, Charleston County, South Carolina",2405,159,2339,152,11,17,0,12,48,63,0,12,0,12,7,11,0,12,7,11
1400000US45019005000,45019005000,"Census Tract 50, Charleston County, South Carolina",4957,513,2242,194,2674,433,0,12,38,39,0,12,0,12,3,4,0,12,3,4
1400000US45019005100,45019005100,"Census Tract 51, Charleston County, South Carolina",1946,240,1435,235,429,125,10,12,26,39,0,12,34,54,12,19,0,12,12,19
1400000US45019005200,45019005200,"Census Tract 52, Charleston County, South Carolina",4753,252,3547,275,947,164,16,19,95,55,0,12,3,4,145,80,0,12,145,80
1400000US45019005300,45019005300,"Census Tract 53, Charleston County, South Carolina",3953,469,934,239,2954,433,0,12,3,8,5,11,41,44,16,25,0,12,16,25
1400000US45019005400,45019005400,"Census Tract 54, Charleston County, South Carolina",2125,248,278,125,1847,234,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US45019005500,45019005500,"Census Tract 55, Charleston County, South Carolina",1175,227,286,151,861,191,0,12,16,22,0,12,4,7,8,9,0,12,8,9
1400000US45019005600,45019005600,"Census Tract 56, Charleston County, South Carolina",11587,821,8800,661,2302,501,0,19,106,130,0,19,28,37,351,155,22,25,329,149
1400000US45019005700,45019005700,"Census Tract 57, Charleston County, South Carolina",8219,727,7096,698,977,273,0,17,98,84,0,17,0,17,48,58,0,17,48,58
1400000US45019005800,45019005800,"Census Tract 58, Charleston County, South Carolina",6028,745,4678,678,934,299,42,62,248,258,0,17,14,23,112,97,0,17,112,97
1400000US45019990100,45019990100,"Census Tract 9901, Charleston County, South Carolina",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
