STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,joiner,geometry,GeoId,Pop_00,White_00,Minority_00,Min_Perc_00,Pop_10,White_10,Minority_10,Min_Perc_10,Pop_16,White_16,Minority_16,Min_Perc_16,MP00_10,MP10_16,MP00_16
45,019,000500,1400000US45019000500,45019000500,5,CT,668788,398384,45019000500.0,"POLYGON ((-79.95499099999999 32.780822, -79.946918 32.782889, -79.945566 32.783258, -79.940956 32.784378, -79.939409 32.781572, -79.93827499999999 32.779531, -79.941076 32.778422, -79.94478599999999 32.776976, -79.94435399999999 32.776183, -79.94947499999999 32.773664, -79.956846 32.779657, -79.95499099999999 32.780822))",45019000500,2174,2106,68,3.1278748850046,1975,1897,78,3.949367088607595,2077,2002,75,3.610977371208474,0.821492203602995,-0.33838971739912127,0.48310248620387375
45,019,001500,1400000US45019001500,45019001500,15,CT,459878,0,45019001500.0,"POLYGON ((-79.95488999999999 32.812403, -79.952653 32.812386, -79.950183 32.810516, -79.94897899999999 32.807542, -79.949501 32.807265, -79.95083699999999 32.806469, -79.95105099999999 32.803468, -79.949462 32.80116, -79.951871 32.79994, -79.95352699999999 32.803086, -79.954138 32.805886, -79.95510899999999 32.810406, -79.95488999999999 32.812403))",45019001500,1615,153,1462,90.52631578947368,1371,415,956,69.73012399708242,1409,551,858,60.89425124201562,-20.79619179239127,-8.835872755066795,-29.632064547458064
45,019,003000,1400000US45019003000,45019003000,30,CT,5064746,1108550,45019003000.0,"POLYGON ((-79.99260599999999 32.783225, -79.987561 32.782327, -79.987433 32.782305, -79.98522199999999 32.781914, -79.98443499999999 32.782835, -79.983565 32.783244, -79.982888 32.783507, -79.98191299999999 32.783976, -79.981672 32.784094, -79.97904299999999 32.785335, -79.978583 32.785613, -79.97743199999999 32.786143, -79.97681 32.785716, -79.97444899999999 32.787746, -79.97025599999999 32.78686, -79.967011 32.788576, -79.96102399999999 32.783496, -79.956846 32.779657, -79.94947499999999 32.773664, -79.963753 32.768125, -79.97005899999999 32.767412, -79.972864 32.766448, -79.974046 32.766382, -79.983127 32.766389, -79.982253 32.767395, -79.986087 32.772515, -79.98755 32.771036, -79.988299 32.771041, -79.99000599999999 32.771963, -79.991614 32.773649, -79.99038899999999 32.774671, -79.99155499999999 32.776188, -79.991145 32.776562, -79.991727 32.781626, -79.99382 32.783433, -79.99260599999999 32.783225))",45019003000,3131,3113,18,0.5748961992973491,3160,3076,84,2.6582278481012658,3624,3551,73,2.0143487858719644,2.0833316488039166,-0.6438790622293014,1.4394525865746153
45,019,003600,1400000US45019003600,45019003600,36,CT,1736076,7395,45019003600.0,"POLYGON ((-79.99614799999999 32.876266, -79.99261799999999 32.877318, -79.992705 32.881304, -79.986839 32.881311, -79.98544799999999 32.882588, -79.984112 32.88215, -79.98383199999999 32.881607, -79.98338 32.881431, -79.980183 32.881485, -79.97793799999999 32.881511, -79.97413 32.881569, -79.97359299999999 32.878164, -79.97377399999999 32.87631, -79.97384099999999 32.876003, -79.975487 32.874422, -79.980076 32.873902, -79.980633 32.873558, -79.98505 32.872997, -79.99461099999999 32.871896, -79.99554599999999 32.872423, -79.994444 32.873348, -79.99614799999999 32.876266))",45019003600,2791,1317,1474,52.8126119670369,2233,1099,1134,50.78369905956113,2369,1391,978,41.28324187420853,-2.028912907475771,-9.500457185352602,-11.529370092828373
45,019,000400,1400000US45019000400,45019000400,4,CT,630766,0,45019000400.0,"POLYGON ((-79.940956 32.784378, -79.93938399999999 32.784714, -79.937708 32.785308, -79.93426199999999 32.786692, -79.93189699999999 32.787746, -79.931499 32.785818, -79.92981399999999 32.783262, -79.93339899999999 32.78146, -79.933278 32.781121, -79.932889 32.77776, -79.934832 32.777579, -79.93748099999999 32.777353, -79.93827499999999 32.779531, -79.939409 32.781572, -79.940956 32.784378))",45019000400,2939,2384,555,18.88397414086424,3361,2827,534,15.888128533174651,3305,2624,681,20.605143721633887,-2.9958456076895885,4.717015188459236,1.7211695807696472
45,019,001100,1400000US45019001100,45019001100,11,CT,1100763,246398,45019001100.0,"POLYGON ((-79.967011 32.788576, -79.95950999999999 32.792329, -79.957309 32.794091, -79.952017 32.796845, -79.950676 32.797552, -79.9486 32.793048, -79.94793 32.791562, -79.947305 32.790228, -79.94917599999999 32.789342, -79.95096099999999 32.788495, -79.956565 32.7853, -79.96102399999999 32.783496, -79.967011 32.788576))",45019001100,2604,146,2458,94.39324116743471,2525,733,1792,70.97029702970296,2448,897,1551,63.357843137254896,-23.422944137731747,-7.612453892448066,-31.035398030179813
45,019,002604,1400000US45019002604,45019002604,26.04,CT,3438723,1390290,45019002604.0,"POLYGON ((-80.01574699999999 32.825111, -80.01478399999999 32.827964, -80.013041 32.826744, -80.00689799999999 32.830458, -80.00308299999999 32.832767, -79.993555 32.836271, -79.98811099999999 32.837275, -79.984607 32.836876, -79.98588099999999 32.834811, -79.987798 32.831682, -79.989662 32.828601, -79.99236599999999 32.820204, -79.99278099999999 32.818837, -79.99457799999999 32.816488, -79.997242 32.814719, -80.008961 32.807031, -80.009851 32.809515, -80.009979 32.809764, -80.01009499999999 32.80995, -80.010413 32.810388, -80.01208 32.812048, -80.01327999999999 32.81324, -80.011219 32.814314, -80.01012899999999 32.818591, -80.01218 32.818658, -80.011287 32.819686, -80.012243 32.821281, -80.01370799999999 32.820501, -80.01391699999999 32.820627, -80.013952 32.820973, -80.013897 32.821216, -80.013733 32.821537, -80.01330999999999 32.822073, -80.01293099999999 32.822231, -80.01248199999999 32.822226, -80.012388 32.822502, -80.012739 32.822802, -80.01352299999999 32.823189, -80.013666 32.823403, -80.01357999999999 32.823804, -80.01362399999999 32.824075, -80.013786 32.824256, -80.01521099999999 32.824526, -80.01574699999999 32.825111))",45019002604,3666,3008,658,17.94871794871795,3503,2492,1011,28.860976306023407,3900,2944,956,24.512820512820515,10.912258357305458,-4.348155793202892,6.564102564102566
45,019,002702,1400000US45019002702,45019002702,27.02,CT,2766122,0,45019002702.0,"POLYGON ((-80.020691 32.788381, -80.020473 32.789611, -80.01638699999999 32.795806, -80.015157 32.800345, -80.01499799999999 32.801018, -80.014759 32.801994, -80.013368 32.802253, -80.013009 32.802302, -80.011218 32.802568, -80.007571 32.803117, -80.007537 32.803023, -80.00724099999999 32.802203, -80.00634699999999 32.799572, -80.006055 32.798665, -80.00174 32.797883, -80.001746 32.797315, -79.999996 32.791888, -79.996591 32.784959, -79.996837 32.783967, -80.00032499999999 32.784576, -80.00261499999999 32.784976, -80.01339399999999 32.786858, -80.020653 32.788125, -80.020691 32.788381))",45019002702,5423,1277,4146,76.4521482574221,5271,1286,3985,75.60235249478278,4332,1627,2705,62.44228993536473,-0.8497957626393173,-13.160062559418051,-14.009858322057369
45,019,002900,1400000US45019002900,45019002900,29,CT,2557704,461588,45019002900.0,"POLYGON ((-79.99720499999999 32.792317, -79.99494199999999 32.792788, -79.985422 32.79433, -79.972022 32.797004, -79.97101099999999 32.793476, -79.967011 32.788576, -79.97025599999999 32.78686, -79.97444899999999 32.787746, -79.97681 32.785716, -79.97743199999999 32.786143, -79.978583 32.785613, -79.97904299999999 32.785335, -79.981672 32.784094, -79.98191299999999 32.783976, -79.982888 32.783507, -79.983565 32.783244, -79.98443499999999 32.782835, -79.98522199999999 32.781914, -79.987433 32.782305, -79.987561 32.782327, -79.99260599999999 32.783225, -79.99382 32.783433, -79.996837 32.783967, -79.996591 32.784959, -79.999996 32.791888, -79.99720499999999 32.792317))",45019002900,2901,1769,1132,39.02102723198897,2847,1817,1030,36.178433438707415,2907,2069,838,28.826969384244926,-2.8425937932815515,-7.35146405446249,-10.194057847744041
45,019,005000,1400000US45019005000,45019005000,50,CT,719588417,130131574,45019005000.0,"MULTIPOLYGON (((-79.507948 33.020076, -79.507132 33.019739, -79.506327 33.020104, -79.505488 33.020536, -79.504627 33.02017, -79.50329599999999 33.020254, -79.50236799999999 33.020582, -79.50150699999999 33.01971, -79.50097 33.018866, -79.50097 33.018191, -79.501361 33.017554, -79.501976 33.017272, -79.503106 33.017563, -79.50347499999999 33.018097, -79.50413499999999 33.018735, -79.50512999999999 33.019195, -79.506416 33.01942, -79.5074 33.019373, -79.508071 33.019588, -79.507948 33.020076)), ((-79.553606 32.990386, -79.55134799999999 32.991881, -79.548734 32.992978, -79.546476 32.99238, -79.545219 32.990715, -79.54706999999999 32.98939, -79.549566 32.98939, -79.550873 32.989489, -79.55217999999999 32.988791, -79.553606 32.990386)), ((-79.801075 32.930692, -79.79823399999999 32.933799, -79.79622599999999 32.935136, -79.79206499999999 32.937095, -79.783096 32.943164, -79.781153 32.943846, -79.778904 32.943745, -79.774688 32.941645, -79.770984 32.94186, -79.77178099999999 32.943867, -79.770408 32.946667, -79.76912399999999 32.951545, -79.767466 32.952779, -79.767748 32.95502, -79.766142 32.954567, -79.765242 32.95655199999999, -79.76364099999999 32.956338, -79.76357999999999 32.958174, -79.764532 32.960107, -79.765925 32.964148, -79.769324 32.968545, -79.7693 32.971566, -79.767757 32.973724, -79.76852699999999 32.975529, -79.766835 32.97948, -79.76211499999999 32.989093, -79.75864899999999 32.992036, -79.755285 32.995957, -79.75146699999999 32.998842, -79.74887099999999 33.000172, -79.743045 33.00538, -79.730301 33.012638, -79.729024 33.014089, -79.726494 33.019982, -79.72160099999999 33.03097899999999, -79.717687 33.036891, -79.714654 33.040642, -79.712603 33.041937, -79.70303199999999 33.045934, -79.70085 33.048621, -79.699878 33.052559, -79.698673 33.054992, -79.69741999999999 33.056144, -79.694146 33.058158, -79.69183 33.060149, -79.687879 33.064459, -79.686476 33.06694, -79.682647 33.07067, -79.68189599999999 33.071876, -79.674857 33.080584, -79.666984 33.086392, -79.66181999999999 33.089566, -79.660501 33.090832, -79.65546399999999 33.10082, -79.649174 33.109829, -79.64767599999999 33.112621, -79.647127 33.114632, -79.64712299999999 33.117235, -79.645208 33.120478, -79.64330099999999 33.123453, -79.63838199999999 33.126865, -79.634314 33.129033, -79.629717 33.128438, -79.628044 33.128881, -79.62274699999999 33.132841, -79.620907 33.135976, -79.61623899999999 33.136918, -79.612512 33.138317, -79.610579 33.136123, -79.609053 33.133057, -79.59987 33.134005, -79.597584 33.1396, -79.597081 33.141804, -79.59551499999999 33.143368, -79.59141099999999 33.14408, -79.58963399999999 33.144756, -79.58634699999999 33.146923, -79.583511 33.146759, -79.58008 33.148364, -79.571388 33.149861, -79.56867 33.151856, -79.565663 33.153291, -79.564088 33.155364, -79.56046099999999 33.156403, -79.554929 33.155533, -79.549959 33.15562, -79.545349 33.152588, -79.544145 33.149988, -79.540201 33.147408, -79.533952 33.144035, -79.5326 33.144228, -79.53079699999999 33.145721, -79.52799499999999 33.145634, -79.527446 33.146189, -79.525002 33.145875, -79.521613 33.146708, -79.51867 33.148533, -79.51553799999999 33.153487, -79.51337599999999 33.155838, -79.51359699999999 33.157208, -79.51242599999999 33.157689, -79.51336999999999 33.160462, -79.51286899999999 33.161693, -79.513447 33.164121, -79.512829 33.166176, -79.511079 33.167765, -79.509401 33.167625, -79.507132 33.168535, -79.50656099999999 33.171115, -79.50452199999999 33.172269, -79.503445 33.174366, -79.50427999999999 33.176853, -79.501588 33.17828, -79.496945 33.177427, -79.497214 33.179789, -79.496386 33.179907, -79.496298 33.18521, -79.49538099999999 33.185368, -79.49419 33.187694, -79.4931 33.187725, -79.492818 33.191821, -79.49080699999999 33.193669, -79.490353 33.192942, -79.486627 33.192361, -79.485483 33.19447, -79.485899 33.195342, -79.48427099999999 33.195934, -79.48287599999999 33.197894, -79.484459 33.201702, -79.483611 33.203782, -79.48209399999999 33.203518, -79.481256 33.204388, -79.478208 33.20315, -79.477396 33.205238, -79.47846699999999 33.206335, -79.477402 33.208635, -79.473838 33.209127, -79.47373499999999 33.210366, -79.471321 33.210416, -79.46778499999999 33.206544, -79.466065 33.20908, -79.46244399999999 33.207532, -79.46054699999999 33.207984, -79.459559 33.209214, -79.458252 33.209387, -79.45854799999999 33.210731, -79.456985 33.209373, -79.45484999999999 33.21009, -79.45379 33.20844, -79.450294 33.207334, -79.44929399999999 33.207767, -79.449074 33.210163, -79.446648 33.211819, -79.446699 33.213458, -79.441585 33.21476, -79.43838699999999 33.215136, -79.436261 33.214184, -79.433927 33.212451, -79.42736699999999 33.209482, -79.42640399999999 33.205441, -79.42466999999999 33.204071, -79.41967799999999 33.20116, -79.41358799999999 33.198159, -79.41021499999999 33.193072, -79.406633 33.186656, -79.40485799999999 33.184929, -79.401894 33.182047, -79.393845 33.177633, -79.384913 33.175368, -79.379915 33.171939, -79.37478 33.167529, -79.366916 33.162274, -79.362382 33.160926, -79.35770099999999 33.158935, -79.35426099999999 33.155594, -79.35081599999999 33.153528, -79.34156299999999 33.154032, -79.33207 33.152688, -79.32553799999999 33.150439, -79.316743 33.146271, -79.30760699999999 33.145486, -79.297797 33.145581, -79.29546499999999 33.146475, -79.29124999999999 33.146563, -79.28393199999999 33.144252, -79.28095999999999 33.143603, -79.27803999999999 33.142559, -79.272412 33.139653, -79.27006799999999 33.137714, -79.268169 33.134477, -79.26794599999999 33.13334, -79.268411 33.130308, -79.271846 33.123386, -79.27529 33.118924, -79.27671699999999 33.117914, -79.28881799999999 33.111305, -79.29056515824701 33.11022118329009, -79.291591 33.109773, -79.30594099999999 33.10316, -79.316063 33.099231, -79.323385 33.092583, -79.328159 33.090406, -79.32987199999999 33.089512, -79.334531 33.080131, -79.3325711260008 33.07914085021319, -79.3337615508937 33.0759717859252, -79.335909 33.070255, -79.34149499999999 33.053822, -79.35123999999999 33.035193, -79.359796 33.01965, -79.362292 33.009087, -79.373582 33.008688, -79.379999 33.009386, -79.396755 33.00819, -79.3987247250794 33.0080529366405, -79.40753282462751 33.0106628921562, -79.40108099999999 33.011175, -79.40064699999999 33.017506, -79.404422 33.019617, -79.405203 33.018016, -79.407286 33.01445, -79.41635599999999 33.016124, -79.452848 33.012675, -79.47055499999999 33.010084, -79.47468099999999 33.011389, -79.483271 33.009785, -79.48933199999999 33.01397, -79.488727 33.015832, -79.50406799999999 33.027422, -79.506923 33.032813, -79.52244899999999 33.03535, -79.525221 33.037286, -79.53211399999999 33.035193, -79.53212660816929 33.0338482486813, -79.53214899999999 33.03146, -79.534966 33.02847, -79.54132299999999 33.025987, -79.545317 33.026537, -79.55141999999999 33.023959, -79.55481999999999 33.021596, -79.55756 33.021269, -79.563176 33.017676, -79.566188 33.015285, -79.571108 33.013811, -79.575969 33.009231, -79.580725 33.006447, -79.58102502176149 33.0045429569702, -79.58131399999999 33.002709, -79.583344 33.000351, -79.58371699999999 32.996155, -79.58659 32.991334, -79.592761 32.985218, -79.598415 32.981066, -79.59866199999999 32.979648, -79.60101999999999 32.979282, -79.60661499999999 32.972248, -79.60550599999999 32.968364, -79.606223 32.965588, -79.607996 32.96335, -79.617611 32.952726, -79.61771499999999 32.94487, -79.612928 32.934815, -79.606194 32.925953, -79.60600264249049 32.9259577893588, -79.585897 32.926461, -79.58608799999999 32.929456, -79.5825329613708 32.93097866480709, -79.581687 32.931341, -79.579989 32.933452, -79.579398310304 32.933552065134, -79.576701 32.934009, -79.57408599999999 32.932509, -79.573408 32.92788, -79.574613 32.921117, -79.578087 32.910408, -79.581058 32.906417, -79.59473944430329 32.9015522497557, -79.6269585065323 32.8900960257362, -79.63114899999999 32.888606, -79.6343452609343 32.886385032281, -79.6418 32.881205, -79.64665599999999 32.876055, -79.64972399999999 32.87644, -79.65592699999999 32.875881, -79.66721699999999 32.869793, -79.68124 32.861708, -79.693375 32.852821, -79.698115 32.851325, -79.6987230967603 32.8492256453902, -79.70196899999999 32.852168, -79.707521 32.855142, -79.714713 32.853415, -79.718501 32.853014, -79.72045899999999 32.853325, -79.725033 32.855191, -79.72627399999999 32.855801, -79.72775399999999 32.855157, -79.72793799999999 32.858323, -79.727155 32.859266, -79.727142 32.86125, -79.726291 32.86391, -79.728994 32.863553, -79.729726 32.864447, -79.73028699999999 32.867503, -79.731504 32.86989, -79.733481 32.871504, -79.734596 32.871175, -79.73695099999999 32.871756, -79.737016 32.872853, -79.735473 32.874822, -79.73526 32.877071, -79.735895 32.879585, -79.743917 32.887406, -79.741567 32.8892, -79.732952 32.897965, -79.73005499999999 32.901506, -79.716854 32.917983, -79.71573599999999 32.920659, -79.715498 32.921626, -79.7144 32.926174, -79.71427799999999 32.926654, -79.71347299999999 32.929956, -79.713026 32.931781, -79.712059 32.93571, -79.71177399999999 32.936478, -79.71161599999999 32.93681, -79.71094699999999 32.937918, -79.710285 32.938699, -79.710145 32.938838, -79.71234199999999 32.943172, -79.714986 32.944837, -79.72568 32.945366, -79.72436499999999 32.943325, -79.724991 32.94257, -79.72269399999999 32.938225, -79.721476 32.934336, -79.721993 32.932129, -79.721688 32.929856, -79.72192199999999 32.926662, -79.721594 32.924793, -79.72266599999999 32.923133, -79.725404 32.92140699999999, -79.72936799999999 32.920597, -79.731652 32.921167, -79.734098 32.920259, -79.73486699999999 32.919283, -79.735648 32.916287, -79.73717599999999 32.91467, -79.739958 32.914005, -79.74525199999999 32.914161, -79.748509 32.913668, -79.75219799999999 32.914561, -79.757426 32.917479, -79.758934 32.917989, -79.761133 32.918733, -79.76825599999999 32.919486, -79.76858799999999 32.919543, -79.76937199999999 32.919679, -79.774503 32.923572, -79.77743199999999 32.926616, -79.782213 32.927984, -79.78634099999999 32.930577, -79.789839 32.930411, -79.79670299999999 32.928119, -79.799539 32.928146, -79.802195 32.929916, -79.801075 32.930692)))",45019005000,5091,1795,3296,64.74170104105283,4913,2006,2907,59.16955017301038,4957,2242,2715,54.7710308654428,-5.572150868042456,-4.398519307567575,-9.970670175610032
