GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1400000US45019000100,45019000100,"Census Tract 1, Charleston County, South Carolina",2767,2361,322,5,32,1,5,41
1400000US45019000200,45019000200,"Census Tract 2, Charleston County, South Carolina",1363,1349,2,1,4,0,3,4
1400000US45019000400,45019000400,"Census Tract 4, Charleston County, South Carolina",3361,2827,435,4,48,0,9,38
1400000US45019000500,45019000500,"Census Tract 5, Charleston County, South Carolina",1975,1897,21,3,39,0,5,10
1400000US45019000600,45019000600,"Census Tract 6, Charleston County, South Carolina",1256,1042,87,3,95,0,8,21
1400000US45019000700,45019000700,"Census Tract 7, Charleston County, South Carolina",3504,2889,491,7,57,1,12,47
1400000US45019000900,45019000900,"Census Tract 9, Charleston County, South Carolina",1413,295,1057,5,3,0,31,22
1400000US45019001000,45019001000,"Census Tract 10, Charleston County, South Carolina",2249,1509,655,5,19,2,18,41
1400000US45019001100,45019001100,"Census Tract 11, Charleston County, South Carolina",2525,733,1711,9,8,3,15,46
1400000US45019001500,45019001500,"Census Tract 15, Charleston County, South Carolina",1371,415,930,2,3,0,2,19
1400000US45019001600,45019001600,"Census Tract 16, Charleston County, South Carolina",1347,686,627,5,9,1,8,11
1400000US45019001901,45019001901,"Census Tract 19.01, Charleston County, South Carolina",3821,3192,523,5,18,1,35,47
1400000US45019001902,45019001902,"Census Tract 19.02, Charleston County, South Carolina",4315,3428,709,9,67,2,48,52
1400000US45019002002,45019002002,"Census Tract 20.02, Charleston County, South Carolina",5899,5144,570,14,48,0,23,100
1400000US45019002003,45019002003,"Census Tract 20.03, Charleston County, South Carolina",8351,5317,2814,17,77,5,47,74
1400000US45019002004,45019002004,"Census Tract 20.04, Charleston County, South Carolina",2011,1950,9,7,11,3,12,19
1400000US45019002005,45019002005,"Census Tract 20.05, Charleston County, South Carolina",5942,5567,208,10,59,3,26,69
1400000US45019002006,45019002006,"Census Tract 20.06, Charleston County, South Carolina",4599,3701,786,11,35,0,9,57
1400000US45019002007,45019002007,"Census Tract 20.07, Charleston County, South Carolina",3311,3218,40,2,27,1,4,19
1400000US45019002101,45019002101,"Census Tract 21.01, Charleston County, South Carolina",11091,7392,2688,45,62,8,727,169
1400000US45019002103,45019002103,"Census Tract 21.03, Charleston County, South Carolina",4090,2176,1569,22,16,2,248,57
1400000US45019002104,45019002104,"Census Tract 21.04, Charleston County, South Carolina",1626,1575,36,0,5,0,5,5
1400000US45019002105,45019002105,"Census Tract 21.05, Charleston County, South Carolina",1738,1690,34,1,7,1,2,3
1400000US45019002200,45019002200,"Census Tract 22, Charleston County, South Carolina",2725,1228,1428,3,3,0,48,15
1400000US45019002300,45019002300,"Census Tract 23, Charleston County, South Carolina",1879,1011,814,7,0,1,35,11
1400000US45019002400,45019002400,"Census Tract 24, Charleston County, South Carolina",4514,1651,2723,13,9,2,72,44
1400000US45019002502,45019002502,"Census Tract 25.02, Charleston County, South Carolina",7077,3592,3184,13,22,3,165,98
1400000US45019002604,45019002604,"Census Tract 26.04, Charleston County, South Carolina",3503,2492,851,13,17,9,62,59
1400000US45019002605,45019002605,"Census Tract 26.05, Charleston County, South Carolina",3894,2099,1546,13,80,9,94,53
1400000US45019002606,45019002606,"Census Tract 26.06, Charleston County, South Carolina",2101,1877,151,1,29,0,5,38
1400000US45019002611,45019002611,"Census Tract 26.11, Charleston County, South Carolina",2884,2126,640,8,23,1,20,66
1400000US45019002612,45019002612,"Census Tract 26.12, Charleston County, South Carolina",6479,3579,2413,22,160,46,112,147
1400000US45019002613,45019002613,"Census Tract 26.13, Charleston County, South Carolina",4935,3672,997,15,75,1,74,101
1400000US45019002614,45019002614,"Census Tract 26.14, Charleston County, South Carolina",3193,1941,1063,12,69,2,46,60
1400000US45019002701,45019002701,"Census Tract 27.01, Charleston County, South Carolina",2547,1025,1395,7,41,3,35,41
